string	surah_frequency
غيظ	{'67': 14.688543247344462, '48': 8.280367835757056, '25': 5.243634886240519, '22': 3.815431612140323, '33': 3.7315921356977637, '26': 3.571863468634686, '9': 1.87265428516154, '3': 1.3671963276836159}
ابي	{'15': 6.96886249100072, '25': 5.243634886240519, '33': 3.7315921356977637, '20': 3.4204063604240282, '17': 3.0033354017995655, '18': 2.8894776119402987, '9': 1.87265428516154, '2': 0.7859491718090289}
سود	{'35': 6.372448979591836, '43': 5.4228291316526605, '39': 4.174105217766279, '33': 3.7315921356977637, '12': 2.71445597307908, '16': 2.5764572797444774, '3': 1.3671963276836159, '2': 0.7859491718090289}
غلم	{'52': 14.234926470588235, '51': 12.854913678618857, '15': 6.96886249100072, '37': 5.1460659223817125, '19': 4.754297642436149, '18': 2.8894776119402987, '12': 2.71445597307908, '3': 1.3671963276836159}
عزل	{'44': 13.633450704225353, '19': 4.754297642436149, '33': 3.7315921356977637, '26': 3.571863468634686, '18': 2.8894776119402987, '11': 2.4630407124681932, '4': 1.3175105485232068, '2': 0.7859491718090289}
ضيع	{'19': 4.754297642436149, '18': 2.8894776119402987, '12': 2.71445597307908, '11': 2.4630407124681932, '9': 1.87265428516154, '7': 1.4243304885226604, '3': 1.3671963276836159, '2': 0.7859491718090289}
برز	{'79': 23.1572966507177, '14': 5.870072771376592, '40': 3.9525316455696204, '26': 3.571863468634686, '18': 2.8894776119402987, '3': 1.3671963276836159, '4': 1.3175105485232068, '2': 0.7859491718090289}
وقر	{'71': 22.511046511627907, '51': 12.854913678618857, '31': 9.32538535645472, '48': 8.280367835757056, '41': 5.873634708737864, '17': 3.0033354017995655, '18': 2.8894776119402987, '6': 1.5547301638291038}
شري	{'31': 9.32538535645472, '12': 2.71445597307908, '16': 2.5764572797444774, '9': 1.87265428516154, '5': 1.7291443372633082, '3': 1.3671963276836159, '4': 1.3175105485232068, '2': 0.7859491718090289}
عبر	{'79': 23.1572966507177, '59': 10.791248606465997, '23': 4.574551039697543, '24': 3.707296055151283, '12': 2.71445597307908, '16': 2.5764572797444774, '3': 1.3671963276836159, '4': 1.3175105485232068}
خون	{'66': 20.2505230125523, '40': 3.9525316455696204, '8': 3.8335643564356436, '22': 3.815431612140323, '12': 2.71445597307908, '5': 1.7291443372633082, '4': 1.3175105485232068, '2': 0.7859491718090289}
لطف	{'67': 14.688543247344462, '31': 9.32538535645472, '42': 5.7549048751486325, '22': 3.815431612140323, '33': 3.7315921356977637, '18': 2.8894776119402987, '12': 2.71445597307908, '6': 1.5547301638291038}
عرج	{'70': 21.60658482142857, '32': 12.992953020134227, '48': 8.280367835757056, '57': 8.14793771043771, '15': 6.96886249100072, '34': 5.559879379666858, '43': 5.4228291316526605, '24': 3.707296055151283}
قنت	{'66': 20.2505230125523, '30': 5.91671760391198, '39': 4.174105217766279, '33': 3.7315921356977637, '16': 2.5764572797444774, '3': 1.3671963276836159, '4': 1.3175105485232068, '2': 0.7859491718090289}
دفع	{'70': 21.60658482142857, '52': 14.234926470588235, '41': 5.873634708737864, '23': 4.574551039697543, '22': 3.815431612140323, '3': 1.3671963276836159, '4': 1.3175105485232068, '2': 0.7859491718090289}
راف	{'59': 10.791248606465997, '57': 8.14793771043771, '22': 3.815431612140323, '24': 3.707296055151283, '16': 2.5764572797444774, '9': 1.87265428516154, '3': 1.3671963276836159, '2': 0.7859491718090289}
بيع	{'62': 28.386363636363637, '60': 13.538111888111889, '48': 8.280367835757056, '14': 5.870072771376592, '22': 3.815431612140323, '24': 3.707296055151283, '9': 1.87265428516154, '2': 0.7859491718090289}
نقص	{'73': 20.389152185360714, '50': 11.291630212890054, '35': 5.6643990929705215, '13': 5.058331700307009, '21': 3.530661560206082, '11': 2.1893695221939495, '9': 1.6645815868102578, '7': 1.2660715453534759, '2': 0.6986214860524701}
عسر	{'94': 138.77777777777777, '92': 50.024547803617565, '74': 16.357836924376848, '65': 15.310003954132066, '54': 11.900722299062547, '25': 4.661008787769351, '18': 2.568424543946932, '9': 1.6645815868102578, '2': 0.6986214860524701}
سفر	{'80': 28.11837327523602, '62': 25.232323232323232, '74': 16.357836924376848, '34': 4.942115004148318, '18': 2.568424543946932, '9': 1.6645815868102578, '5': 1.5370171886784962, '4': 1.1711204875761838, '2': 0.6986214860524701}
فرر	{'80': 28.11837327523602, '62': 25.232323232323232, '75': 24.37456720176267, '71': 20.009819121447027, '74': 16.357836924376848, '51': 11.426589936550094, '33': 3.316970787286901, '26': 3.174989749897499, '18': 2.568424543946932}
رعي	{'87': 59.75154320987654, '79': 20.584263689526846, '70': 19.205853174603174, '57': 7.242611298166853, '23': 4.066267590842259, '20': 3.0403612092658023, '28': 2.966973180076628, '4': 1.1711204875761838, '2': 0.6986214860524701}
قهر	{'93': 79.66872427983539, '38': 5.540387779924161, '14': 5.217842463445859, '13': 5.058331700307009, '39': 3.7103157491255807, '40': 3.513361462728551, '12': 2.412849753848071, '6': 1.381982367848092, '7': 1.2660715453534759}
نطق	{'77': 21.403537866224433, '53': 11.658837699488107, '51': 11.426589936550094, '45': 8.6128350572795, '41': 5.221008629989212, '37': 4.574280819894855, '23': 4.066267590842259, '27': 3.6582577475434612, '21': 3.530661560206082}
شهر	{'97': 153.6468253968254, '65': 15.310003954132066, '58': 9.352415458937198, '46': 6.563098567675227, '34': 4.942115004148318, '9': 1.6645815868102578, '5': 1.5370171886784962, '4': 1.1711204875761838, '2': 0.6986214860524701}
طور	{'95': 124.69887278582931, '71': 20.009819121447027, '52': 12.653267973856208, '19': 4.226042348832133, '23': 4.066267590842259, '20': 3.0403612092658023, '28': 2.966973180076628, '4': 1.1711204875761838, '2': 0.6986214860524701}
سفل	{'95': 124.69887278582931, '15': 6.194544436445084, '41': 5.221008629989212, '37': 4.574280819894855, '8': 3.4076127612761273, '33': 3.316970787286901, '11': 2.1893695221939495, '9': 1.6645815868102578, '4': 1.1711204875761838}
بثث	{'101': 100.04909560723513, '88': 45.04828388598022, '56': 10.134537364219343, '45': 8.6128350572795, '31': 8.28923142795975, '42': 5.115471000132117, '12': 2.412849753848071, '4': 1.1711204875761838, '2': 0.6986214860524701}
قصر	{'77': 21.403537866224433, '55': 10.557327880027266, '48': 7.360326965117384, '38': 5.540387779924161, '25': 4.661008787769351, '37': 4.574280819894855, '22': 3.3914947663469537, '7': 1.2660715453534759, '4': 1.1711204875761838}
جمل	{'77': 21.403537866224433, '73': 20.389152185360714, '70': 19.205853174603174, '15': 6.194544436445084, '25': 4.661008787769351, '33': 3.316970787286901, '12': 2.412849753848071, '16': 2.290184248661757, '7': 1.2660715453534759}
شمل	{'70': 19.205853174603174, '69': 14.963864734299516, '50': 11.291630212890054, '56': 10.134537364219343, '34': 4.942115004148318, '18': 2.568424543946932, '16': 2.290184248661757, '6': 1.381982367848092, '7': 1.2660715453534759}
صيح	{'63': 23.44474719951559, '54': 11.900722299062547, '50': 11.291630212890054, '15': 6.194544436445084, '36': 5.743806556890669, '38': 5.540387779924161, '29': 4.369843688279443, '23': 4.066267590842259, '11': 2.1893695221939495}
جبر	{'50': 11.291630212890054, '59': 9.592220983525332, '14': 5.217842463445859, '19': 4.226042348832133, '40': 3.513361462728551, '26': 3.174989749897499, '28': 2.966973180076628, '11': 2.1893695221939495, '5': 1.5370171886784962}
شيع	{'54': 11.900722299062547, '15': 6.194544436445084, '30': 5.2593045368106495, '34': 4.942115004148318, '37': 4.574280819894855, '19': 4.226042348832133, '24': 3.295374271245585, '28': 2.966973180076628, '6': 1.381982367848092}
ايد	{'61': 20.245228758169933, '51': 11.426589936550094, '58': 9.352415458937198, '38': 5.540387779924161, '8': 3.4076127612761273, '9': 1.6645815868102578, '5': 1.5370171886784962, '3': 1.2152856246076584, '2': 0.6986214860524701}
حرب	{'47': 7.829137599838236, '38': 5.540387779924161, '34': 4.942115004148318, '19': 4.226042348832133, '8': 3.4076127612761273, '9': 1.6645815868102578, '5': 1.5370171886784962, '3': 1.2152856246076584, '2': 0.6986214860524701}
حرج	{'48': 7.360326965117384, '22': 3.3914947663469537, '33': 3.316970787286901, '24': 3.295374271245585, '9': 1.6645815868102578, '5': 1.5370171886784962, '6': 1.381982367848092, '7': 1.2660715453534759, '4': 1.1711204875761838}
درك	{'68': 13.237264957264957, '36': 5.743806556890669, '27': 3.6582577475434612, '26': 3.174989749897499, '20': 3.0403612092658023, '10': 2.398055245881333, '6': 1.381982367848092, '7': 1.2660715453534759, '4': 1.1711204875761838}
خبث	{'14': 5.217842463445859, '21': 3.530661560206082, '8': 3.4076127612761273, '24': 3.295374271245585, '5': 1.5370171886784962, '7': 1.2660715453534759, '3': 1.2152856246076584, '4': 1.1711204875761838, '2': 0.6986214860524701}
مطر	{'46': 6.563098567675227, '15': 6.194544436445084, '25': 4.661008787769351, '27': 3.6582577475434612, '8': 3.4076127612761273, '26': 3.174989749897499, '11': 2.1893695221939495, '7': 1.2660715453534759, '4': 1.1711204875761838}
نوم	{'78': 23.00594177064765, '68': 13.237264957264957, '30': 5.2593045368106495, '25': 4.661008787769351, '37': 4.574280819894855, '39': 3.7103157491255807, '8': 3.4076127612761273, '7': 1.2660715453534759, '2': 0.6986214860524701}
طبع	{'63': 23.44474719951559, '47': 7.829137599838236, '30': 5.2593045368106495, '40': 3.513361462728551, '10': 2.398055245881333, '16': 2.290184248661757, '9': 1.6645815868102578, '7': 1.2660715453534759, '4': 1.1711204875761838}
رشد	{'72': 15.016094628660074, '49': 12.977710742416624, '21': 3.530661560206082, '40': 3.513361462728551, '18': 2.568424543946932, '11': 2.1893695221939495, '7': 1.2660715453534759, '4': 1.1711204875761838, '2': 0.6986214860524701}
حيق	{'45': 8.6128350572795, '46': 6.563098567675227, '35': 5.6643990929705215, '39': 3.7103157491255807, '21': 3.530661560206082, '40': 3.513361462728551, '16': 2.290184248661757, '11': 2.1893695221939495, '6': 1.381982367848092}
خيل	{'59': 9.592220983525332, '31': 8.28923142795975, '57': 7.242611298166853, '8': 3.4076127612761273, '20': 3.0403612092658023, '17': 2.6696314682662807, '16': 2.290184248661757, '3': 1.2152856246076584, '4': 1.1711204875761838}
ياس	{'65': 15.310003954132066, '60': 12.033877233877234, '41': 5.221008629989212, '13': 5.058331700307009, '29': 4.369843688279443, '17': 2.6696314682662807, '12': 2.412849753848071, '11': 2.1893695221939495, '5': 1.5370171886784962}
حنف	{'98': 50.912557527942134, '30': 5.2593045368106495, '22': 3.3914947663469537, '10': 2.398055245881333, '16': 2.290184248661757, '6': 1.381982367848092, '3': 1.2152856246076584, '4': 1.1711204875761838, '2': 0.6986214860524701}
كفف	{'48': 7.360326965117384, '13': 5.058331700307009, '34': 4.942115004148318, '21': 3.530661560206082, '18': 2.568424543946932, '9': 1.6645815868102578, '5': 1.5370171886784962, '4': 1.1711204875761838, '2': 0.6986214860524701}
شفق	{'84': 35.40832190214906, '70': 19.205853174603174, '52': 12.653267973856208, '58': 9.352415458937198, '42': 5.115471000132117, '23': 4.066267590842259, '21': 3.530661560206082, '33': 3.316970787286901, '18': 2.568424543946932}
زعم	{'62': 22.70909090909091, '64': 15.395228628230617, '68': 11.913538461538462, '34': 4.447903503733487, '28': 2.6702758620689657, '17': 2.402668321439653, '18': 2.311582089552239, '12': 2.171564778463264, '6': 1.243784131063283, '4': 1.0540084388185655}
طول	{'73': 18.350236966824646, '76': 14.891923076923076, '57': 6.518350168350168, '21': 3.177595404185474, '40': 3.162025316455696, '20': 2.7363250883392225, '28': 2.6702758620689657, '17': 2.402668321439653, '9': 1.498123428129232, '4': 1.0540084388185655}
طمع	{'70': 17.28526785714286, '74': 14.722053231939165, '32': 10.394362416107384, '30': 4.7333740831295845, '13': 4.552498530276308, '33': 2.9852737085582115, '26': 2.8574907749077494, '5': 1.383315469810647, '7': 1.1394643908181283, '2': 0.6287593374472231}
نفر	{'74': 14.722053231939165, '72': 13.514485165794067, '67': 11.750834597875569, '46': 5.906788710907704, '35': 5.09795918367347, '25': 4.194907908992416, '17': 2.402668321439653, '18': 2.311582089552239, '9': 1.498123428129232, '4': 1.0540084388185655}
مني	{'62': 22.70909090909091, '75': 21.937110481586405, '53': 10.492953929539295, '56': 9.12108362779741, '57': 6.518350168350168, '22': 3.0523452897122585, '28': 2.6702758620689657, '3': 1.0937570621468928, '4': 1.0540084388185655, '2': 0.6287593374472231}
عنب	{'80': 25.30653594771242, '78': 20.70534759358289, '36': 5.169425901201603, '13': 4.552498530276308, '23': 3.6596408317580345, '17': 2.402668321439653, '18': 2.311582089552239, '16': 2.0611658237955814, '6': 1.243784131063283, '2': 0.6287593374472231}
وقد	{'104': 117.33030303030303, '85': 36.70047393364929, '66': 16.20041841004184, '36': 5.169425901201603, '13': 4.552498530276308, '24': 2.9658368441210268, '28': 2.6702758620689657, '5': 1.383315469810647, '3': 1.0937570621468928, '2': 0.6287593374472231}
لوم	{'75': 21.937110481586405, '70': 17.28526785714286, '68': 11.913538461538462, '51': 10.283930942895086, '14': 4.696058217101274, '37': 4.11685273790537, '23': 3.6596408317580345, '17': 2.402668321439653, '12': 2.171564778463264, '5': 1.383315469810647}
نبذ	{'104': 117.33030303030303, '68': 11.913538461538462, '51': 10.283930942895086, '37': 4.11685273790537, '19': 3.80343811394892, '8': 3.066851485148515, '20': 2.7363250883392225, '28': 2.6702758620689657, '3': 1.0937570621468928, '2': 0.6287593374472231}
وقت	{'78': 20.70534759358289, '77': 19.26318407960199, '44': 10.906760563380283, '56': 9.12108362779741, '15': 5.575089992800576, '38': 4.986349001931745, '26': 2.8574907749077494, '7': 1.1394643908181283, '4': 1.0540084388185655, '2': 0.6287593374472231}
طلق	{'77': 19.26318407960199, '66': 16.20041841004184, '65': 13.779003558718863, '68': 11.913538461538462, '48': 6.624294268605646, '38': 4.986349001931745, '33': 2.9852737085582115, '26': 2.8574907749077494, '18': 2.311582089552239, '2': 0.6287593374472231}
عتد	{'76': 14.891923076923076, '67': 11.750834597875569, '50': 10.16246719160105, '48': 6.624294268605646, '25': 4.194907908992416, '33': 2.9852737085582115, '17': 2.402668321439653, '18': 2.311582089552239, '12': 2.171564778463264, '4': 1.0540084388185655}
زبر	{'54': 10.710650069156292, '35': 5.09795918367347, '23': 3.6596408317580345, '21': 3.177595404185474, '26': 2.8574907749077494, '17': 2.402668321439653, '18': 2.311582089552239, '16': 2.0611658237955814, '3': 1.0937570621468928, '4': 1.0540084388185655}
سحب	{'52': 11.387941176470589, '54': 10.710650069156292, '35': 5.09795918367347, '30': 4.7333740831295845, '13': 4.552498530276308, '27': 3.292431972789116, '40': 3.162025316455696, '24': 2.9658368441210268, '7': 1.1394643908181283, '2': 0.6287593374472231}
خرر	{'32': 10.394362416107384, '38': 4.986349001931745, '34': 4.447903503733487, '25': 4.194907908992416, '19': 3.80343811394892, '22': 3.0523452897122585, '17': 2.402668321439653, '12': 2.171564778463264, '16': 2.0611658237955814, '7': 1.1394643908181283}
لبب	{'65': 13.779003558718863, '38': 4.986349001931745, '14': 4.696058217101274, '13': 4.552498530276308, '39': 3.339284174213023, '40': 3.162025316455696, '12': 2.171564778463264, '5': 1.383315469810647, '3': 1.0937570621468928, '2': 0.6287593374472231}
وكا	{'76': 14.891923076923076, '52': 11.387941176470589, '55': 9.501595092024541, '56': 9.12108362779741, '36': 5.169425901201603, '38': 4.986349001931745, '43': 4.338263305322129, '20': 2.7363250883392225, '18': 2.311582089552239, '12': 2.171564778463264}
سوم	{'51': 10.283930942895086, '55': 9.501595092024541, '47': 7.046223839854413, '48': 6.624294268605646, '14': 4.696058217101274, '16': 2.0611658237955814, '11': 1.9704325699745548, '7': 1.1394643908181283, '3': 1.0937570621468928, '2': 0.6287593374472231}
جحد	{'31': 7.4603082851637765, '46': 5.906788710907704, '41': 4.698907766990292, '29': 3.9328593194514982, '27': 3.292431972789116, '40': 3.162025316455696, '16': 2.0611658237955814, '11': 1.9704325699745548, '6': 1.243784131063283, '7': 1.1394643908181283}
هود	{'62': 22.70909090909091, '22': 3.0523452897122585, '26': 2.8574907749077494, '16': 2.0611658237955814, '11': 1.9704325699745548, '5': 1.383315469810647, '6': 1.243784131063283, '7': 1.1394643908181283, '4': 1.0540084388185655, '2': 0.6287593374472231}
بغت	{'47': 7.046223839854413, '43': 4.338263305322129, '29': 3.9328593194514982, '39': 3.339284174213023, '21': 3.177595404185474, '22': 3.0523452897122585, '26': 2.8574907749077494, '12': 2.171564778463264, '6': 1.243784131063283, '7': 1.1394643908181283}
بيض	{'35': 5.09795918367347, '37': 4.11685273790537, '27': 3.292431972789116, '26': 2.8574907749077494, '20': 2.7363250883392225, '28': 2.6702758620689657, '12': 2.171564778463264, '7': 1.1394643908181283, '3': 1.0937570621468928, '2': 0.6287593374472231}
رهب	{'59': 8.632998885172798, '57': 6.518350168350168, '21': 3.177595404185474, '8': 3.066851485148515, '28': 2.6702758620689657, '16': 2.0611658237955814, '9': 1.498123428129232, '5': 1.383315469810647, '7': 1.1394643908181283, '2': 0.6287593374472231}
اذي	{'61': 18.22070588235294, '14': 4.696058217101274, '29': 3.9328593194514982, '33': 2.9852737085582115, '9': 1.498123428129232, '6': 1.243784131063283, '7': 1.1394643908181283, '3': 1.0937570621468928, '4': 1.0540084388185655, '2': 0.6287593374472231}
اصل	{'76': 14.891923076923076, '59': 8.632998885172798, '48': 6.624294268605646, '14': 4.696058217101274, '13': 4.552498530276308, '25': 4.194907908992416, '37': 4.11685273790537, '33': 2.9852737085582115, '24': 2.9658368441210268, '7': 1.1394643908181283}
جور	{'72': 13.514485165794067, '67': 11.750834597875569, '46': 5.906788710907704, '13': 4.552498530276308, '23': 3.6596408317580345, '8': 3.066851485148515, '33': 2.9852737085582115, '16': 2.0611658237955814, '9': 1.498123428129232, '4': 1.0540084388185655}
حصي	{'78': 20.70534759358289, '73': 18.350236966824646, '65': 13.779003558718863, '72': 13.514485165794067, '58': 8.417173913043479, '36': 5.169425901201603, '14': 4.696058217101274, '19': 3.80343811394892, '18': 2.311582089552239, '16': 2.0611658237955814}
فوه	{'61': 18.22070588235294, '36': 5.169425901201603, '14': 4.696058217101274, '13': 4.552498530276308, '33': 2.9852737085582115, '24': 2.9658368441210268, '18': 2.311582089552239, '9': 1.498123428129232, '5': 1.383315469810647, '3': 1.0937570621468928}
ضيق	{'65': 13.779003558718863, '15': 5.575089992800576, '25': 4.194907908992416, '29': 3.9328593194514982, '27': 3.292431972789116, '26': 2.8574907749077494, '16': 2.0611658237955814, '11': 1.9704325699745548, '9': 1.498123428129232, '6': 1.243784131063283}
لحم	{'49': 11.679939668174963, '52': 11.387941176470589, '56': 9.12108362779741, '35': 5.09795918367347, '23': 3.6596408317580345, '22': 3.0523452897122585, '16': 2.0611658237955814, '5': 1.383315469810647, '6': 1.243784131063283, '2': 0.6287593374472231}
حرر	{'76': 14.891923076923076, '58': 8.417173913043479, '35': 5.09795918367347, '22': 3.0523452897122585, '16': 2.0611658237955814, '9': 1.498123428129232, '5': 1.383315469810647, '3': 1.0937570621468928, '4': 1.0540084388185655, '2': 0.6287593374472231}
لدن	{'19': 3.80343811394892, '27': 3.292431972789116, '21': 3.177595404185474, '20': 2.7363250883392225, '28': 2.6702758620689657, '17': 2.402668321439653, '18': 2.311582089552239, '11': 1.9704325699745548, '3': 1.0937570621468928, '4': 1.0540084388185655}
حور	{'84': 31.86748971193416, '61': 18.22070588235294, '52': 11.387941176470589, '44': 10.906760563380283, '55': 9.501595092024541, '56': 9.12108362779741, '58': 8.417173913043479, '18': 2.311582089552239, '5': 1.383315469810647, '3': 1.0937570621468928}
حجج	{'45': 7.751551551551552, '42': 4.6039239001189065, '40': 3.162025316455696, '22': 3.0523452897122585, '28': 2.6702758620689657, '9': 1.498123428129232, '6': 1.243784131063283, '3': 1.0937570621468928, '4': 1.0540084388185655, '2': 0.6287593374472231}
ثوي	{'47': 7.046223839854413, '41': 4.698907766990292, '29': 3.9328593194514982, '39': 3.339284174213023, '40': 3.162025316455696, '28': 2.6702758620689657, '12': 2.171564778463264, '16': 2.0611658237955814, '6': 1.243784131063283, '3': 1.0937570621468928}
عصم	{'60': 10.83048951048951, '40': 3.162025316455696, '22': 3.0523452897122585, '33': 2.9852737085582115, '12': 2.171564778463264, '10': 2.1582497212931995, '11': 1.9704325699745548, '5': 1.383315469810647, '3': 1.0937570621468928, '4': 1.0540084388185655}
زيل	{'48': 6.624294268605646, '13': 4.552498530276308, '21': 3.177595404185474, '40': 3.162025316455696, '22': 3.0523452897122585, '10': 2.1582497212931995, '11': 1.9704325699745548, '9': 1.498123428129232, '5': 1.383315469810647, '2': 0.6287593374472231}
فدي	{'70': 17.28526785714286, '47': 7.046223839854413, '57': 6.518350168350168, '13': 4.552498530276308, '37': 4.11685273790537, '39': 3.339284174213023, '10': 2.1582497212931995, '5': 1.383315469810647, '3': 1.0937570621468928, '2': 0.6287593374472231}
غلظ	{'66': 16.20041841004184, '31': 7.4603082851637765, '48': 6.624294268605646, '41': 4.698907766990292, '14': 4.696058217101274, '33': 2.9852737085582115, '11': 1.9704325699745548, '9': 1.498123428129232, '3': 1.0937570621468928, '4': 1.0540084388185655}
سلك	{'71': 16.37167019027484, '74': 13.38368475630833, '72': 12.285895605267333, '69': 12.243162055335969, '15': 5.0682636298187065, '23': 3.326946210689122, '39': 3.035712885648203, '26': 2.597718886279772, '20': 2.487568262126566, '28': 2.427523510971787, '16': 1.8737871125414378}
عطو	{'108': 270.76223776223776, '93': 65.18350168350169, '92': 40.9291754756871, '78': 18.823043266893535, '54': 9.736954608323904, '53': 9.539049026853904, '38': 4.533044547210677, '20': 2.487568262126566, '17': 2.1842439285815023, '11': 1.7913023363405043, '9': 1.3619303892083927}
ودي	{'89': 24.026683214396527, '79': 16.841670291431058, '46': 5.369807919007004, '14': 4.269143833728431, '13': 4.138635027523916, '27': 2.993119975262833, '26': 2.597718886279772, '20': 2.487568262126566, '28': 2.427523510971787, '9': 1.3619303892083927, '4': 0.9581894898350595}
صفف	{'88': 36.857686815802005, '89': 24.026683214396527, '78': 18.823043266893535, '61': 16.564278074866312, '67': 10.682576907159609, '52': 10.352673796791445, '37': 3.7425933980957904, '22': 2.7748593542838718, '24': 2.696215312837297, '20': 2.487568262126566, '18': 2.101438263229308}
طمن	{'89': 24.026683214396527, '13': 4.138635027523916, '8': 2.788046804680468, '22': 2.7748593542838718, '17': 2.1842439285815023, '10': 1.962045201175636, '16': 1.8737871125414378, '5': 1.2575595180096788, '3': 0.9943246019517207, '4': 0.9581894898350595, '2': 0.5715993976792938}
وزر	{'94': 113.54545454545455, '75': 19.942827710533095, '53': 9.539049026853904, '47': 6.405658036231285, '35': 4.634508348794063, '25': 3.8135526445385604, '39': 3.035712885648203, '20': 2.487568262126566, '17': 2.1842439285815023, '16': 1.8737871125414378, '6': 1.1307128464211664}
غوي	{'53': 9.539049026853904, '15': 5.0682636298187065, '38': 4.533044547210677, '37': 3.7425933980957904, '19': 3.457671012680836, '26': 2.597718886279772, '20': 2.487568262126566, '28': 2.427523510971787, '11': 1.7913023363405043, '7': 1.035876718925571, '2': 0.5715993976792938}
نطف	{'80': 23.005941770647656, '75': 19.942827710533095, '76': 13.538111888111889, '53': 9.539049026853904, '36': 4.699478092001456, '35': 4.634508348794063, '23': 3.326946210689122, '40': 2.8745684695051783, '22': 2.7748593542838718, '18': 2.101438263229308, '16': 1.8737871125414378}
بدا	{'85': 33.36406721240844, '32': 9.449420378279438, '30': 4.3030673482996225, '34': 4.043548639757716, '29': 3.5753266540468167, '27': 2.993119975262833, '21': 2.888723094714067, '12': 1.9741497986029675, '10': 1.962045201175636, '9': 1.3619303892083927, '7': 1.035876718925571}
فقر	{'75': 19.942827710533095, '59': 7.848180804702544, '47': 6.405658036231285, '35': 4.634508348794063, '22': 2.7748593542838718, '24': 2.696215312837297, '28': 2.427523510971787, '9': 1.3619303892083927, '3': 0.9943246019517207, '4': 0.9581894898350595, '2': 0.5715993976792938}
نوب	{'60': 9.845899554990465, '50': 9.238606537819136, '31': 6.782098441057979, '38': 4.533044547210677, '30': 4.3030673482996225, '42': 4.1853853637444605, '13': 4.138635027523916, '34': 4.043548639757716, '39': 3.035712885648203, '40': 2.8745684695051783, '11': 1.7913023363405043}
بكر	{'66': 14.727653100038038, '76': 13.538111888111889, '54': 9.736954608323904, '56': 8.291894207088554, '48': 6.022085698732406, '25': 3.8135526445385604, '19': 3.457671012680836, '40': 2.8745684695051783, '33': 2.7138851895983738, '3': 0.9943246019517207, '2': 0.5715993976792938}
صغر	{'54': 9.736954608323904, '34': 4.043548639757716, '27': 2.993119975262833, '17': 2.1842439285815023, '18': 2.101438263229308, '12': 1.9741497986029675, '10': 1.962045201175636, '9': 1.3619303892083927, '6': 1.1307128464211664, '7': 1.035876718925571, '2': 0.5715993976792938}
ملل	{'38': 4.533044547210677, '14': 4.269143833728431, '22': 2.7748593542838718, '18': 2.101438263229308, '12': 1.9741497986029675, '16': 1.8737871125414378, '6': 1.1307128464211664, '7': 1.035876718925571, '3': 0.9943246019517207, '4': 0.9581894898350595, '2': 0.5715993976792938}
شكك	{'44': 9.915236875800257, '38': 4.533044547210677, '41': 4.2717343336275375, '14': 4.269143833728431, '42': 4.1853853637444605, '34': 4.043548639757716, '27': 2.993119975262833, '40': 2.8745684695051783, '10': 1.962045201175636, '11': 1.7913023363405043, '4': 0.9581894898350595}
خزن	{'63': 19.18206589051276, '67': 10.682576907159609, '52': 10.352673796791445, '15': 5.0682636298187065, '38': 4.533044547210677, '39': 3.035712885648203, '40': 2.8745684695051783, '17': 2.1842439285815023, '12': 1.9741497986029675, '11': 1.7913023363405043, '6': 1.1307128464211664}
عشو	{'79': 16.841670291431058, '38': 4.533044547210677, '30': 4.3030673482996225, '43': 3.9438757321110263, '19': 3.457671012680836, '40': 2.8745684695051783, '24': 2.696215312837297, '18': 2.101438263229308, '12': 1.9741497986029675, '6': 1.1307128464211664, '3': 0.9943246019517207}
خطب	{'78': 18.823043266893535, '51': 9.349028129904625, '15': 5.0682636298187065, '38': 4.533044547210677, '25': 3.8135526445385604, '23': 3.326946210689122, '20': 2.487568262126566, '28': 2.427523510971787, '12': 1.9741497986029675, '11': 1.7913023363405043, '2': 0.5715993976792938}
طرف	{'55': 8.63781372002231, '38': 4.533044547210677, '14': 4.269143833728431, '42': 4.1853853637444605, '13': 4.138635027523916, '37': 3.7425933980957904, '27': 2.993119975262833, '21': 2.888723094714067, '20': 2.487568262126566, '11': 1.7913023363405043, '3': 0.9943246019517207}
طين	{'32': 9.449420378279438, '51': 9.349028129904625, '38': 4.533044547210677, '37': 3.7425933980957904, '23': 3.326946210689122, '28': 2.427523510971787, '17': 2.1842439285815023, '5': 1.2575595180096788, '6': 1.1307128464211664, '7': 1.035876718925571, '3': 0.9943246019517207}
عفو	{'64': 13.995662389300561, '58': 7.65197628458498, '42': 4.1853853637444605, '22': 2.7748593542838718, '24': 2.696215312837297, '9': 1.3619303892083927, '5': 1.2575595180096788, '7': 1.035876718925571, '3': 0.9943246019517207, '4': 0.9581894898350595, '2': 0.5715993976792938}
مدن	{'63': 19.18206589051276, '15': 5.0682636298187065, '36': 4.699478092001456, '27': 2.993119975262833, '33': 2.7138851895983738, '26': 2.597718886279772, '28': 2.427523510971787, '18': 2.101438263229308, '12': 1.9741497986029675, '9': 1.3619303892083927, '7': 1.035876718925571}
ربع	{'58': 7.65197628458498, '46': 5.369807919007004, '35': 4.634508348794063, '41': 4.2717343336275375, '24': 2.696215312837297, '18': 2.101438263229308, '9': 1.3619303892083927, '5': 1.2575595180096788, '7': 1.035876718925571, '4': 0.9581894898350595, '2': 0.5715993976792938}
