string	surah_frequency
درهم	{'12': 21.71564778463264}
زهد	{'12': 21.71564778463264}
غلق	{'12': 21.71564778463264}
هيت	{'12': 21.71564778463264}
شغف	{'12': 21.71564778463264}
حوش	{'12': 21.71564778463264}
خبز	{'12': 21.71564778463264}
عجف	{'12': 21.71564778463264}
حصحص	{'12': 21.71564778463264}
جهز	{'12': 21.71564778463264}
مير	{'12': 21.71564778463264}
بعر	{'12': 21.71564778463264}
عير	{'12': 21.71564778463264}
صوع	{'12': 21.71564778463264}
فتا	{'12': 21.71564778463264}
ثرب	{'12': 21.71564778463264}
فند	{'12': 21.71564778463264}
لقح	{'15': 55.75089992800576}
فضح	{'15': 55.75089992800576}
عضو	{'15': 55.75089992800576}
قرطس	{'6': 12.43784131063283}
بسل	{'6': 12.43784131063283}
حير	{'6': 12.43784131063283}
افل	{'6': 12.43784131063283}
بزغ	{'6': 12.43784131063283}
نوي	{'6': 12.43784131063283}
قنو	{'6': 12.43784131063283}
ينع	{'6': 12.43784131063283}
ضان	{'6': 12.43784131063283}
معز	{'6': 12.43784131063283}
شحم	{'6': 12.43784131063283}
لزب	{'37': 41.1685273790537}
غول	{'37': 41.1685273790537}
شوب	{'37': 41.1685273790537}
سقم	{'37': 41.1685273790537}
زفف	{'37': 41.1685273790537}
تلل	{'37': 41.1685273790537}
جبن	{'37': 41.1685273790537}
ابق	{'37': 41.1685273790537}
سهم	{'37': 41.1685273790537}
لقم	{'37': 41.1685273790537}
سوح	{'37': 41.1685273790537}
صعر	{'31': 74.60308285163777}
ختر	{'31': 74.60308285163777}
مزق	{'34': 44.47903503733487}
سرد	{'34': 44.47903503733487}
جفن	{'34': 44.47903503733487}
عرم	{'34': 44.47903503733487}
خمط	{'34': 44.47903503733487}
اثل	{'34': 44.47903503733487}
نوش	{'34': 44.47903503733487}
قشعر	{'39': 33.39284174213023}
شكس	{'39': 33.39284174213023}
شمز	{'39': 33.39284174213023}
زمر	{'39': 33.39284174213023}
فوض	{'40': 31.620253164556964}
ركد	{'42': 46.03923900118906}
