position	link_query
35:12:27	لَعَلّ
35:15:1	أَيُّهَا
35:26:1	ثُمّ
35:32:1	ثُمّ
35:36:5	جَهَنَّم
35:36:8	عَلِيّ
35:39:9	عَلِيّ
19:10:8	أَلَآ
19:15:2	عَلِيّ
19:24:4	أَلَآ
19:25:6	عَلِيّ
19:40:6	عَلِيّ
19:47:3	عَلِيّ
19:68:4	ثُمّ
19:68:7	جَهَنَّم
19:69:1	ثُمّ
19:70:1	ثُمّ
19:72:1	ثُمّ
19:73:3	عَلِيّ
19:73:11	أَىّ
19:75:10	حَتَّىٰ
19:79:1	كَلَّا
19:82:1	كَلَّا
19:82:5	عَلِيّ
19:84:3	عَلِيّ
19:86:4	جَهَنَّم
20:2:3	عَلِيّ
20:18:5	عَلِيّ
20:18:10	وَلِىّ
20:37:3	عَلِيّ
20:39:4	تَّابُوت
20:39:17	عَلِيّ
20:39:19	مَّنِىّ
20:40:30	ثُمّ
20:44:5	لَعَلّ
20:45:7	عَلِيّ
20:50:8	ثُمّ
20:60:5	ثُمّ
20:64:3	ثُمّ
20:73:9	عَلِيّ
20:74:8	جَهَنَّم
20:81:14	عَلِيّ
20:82:8	ثُمّ
20:89:3	أَلَآ
20:91:4	عَلِيّ
20:91:6	حَتَّىٰ
20:93:1	أَلَآ
20:97:21	عَلِيّ
20:97:24	ثُمّ
20:99:3	عَلِيّ
20:113:9	لَعَلّ
20:118:3	أَلَآ
20:122:1	ثُمّ
20:122:5	عَلِيّ
20:123:10	مَّنِىّ
20:132:5	عَلِيّ
56:16:2	عَلِيّ
56:17:2	عَلِيّ
56:51:1	ثُمّ
56:51:3	أَيُّهَا
56:54:2	عَلِيّ
56:95:3	لَهْو
26:1:1	سَمّ
26:3:1	لَعَلّ
26:3:4	أَلَآ
26:4:4	عَلِيّ
26:9:3	لَهْو
26:15:2	كَلَّا
26:40:1	لَعَلّ
26:62:2	كُلّ
26:64:2	ثُمّ
26:66:1	ثُمّ
26:68:3	لَهْو
26:69:2	عَلِيّ
26:81:3	ثُمّ
26:104:3	لَهْو
26:109:3	عَلِيّ
26:120:1	ثُمّ
26:122:3	لَهْو
26:127:3	عَلِيّ
26:129:3	لَعَلّ
26:136:3	عَلِيّ
26:140:3	لَهْو
26:145:3	عَلِيّ
26:159:3	لَهْو
26:164:3	عَلِيّ
26:172:1	ثُمّ
26:173:2	عَلِيّ
26:175:3	لَهْو
26:180:3	عَلِيّ
26:187:2	عَلِيّ
26:191:3	لَهْو
26:199:2	عَلِيّ
26:201:4	حَتَّىٰ
26:206:1	ثُمّ
27:7:15	لَعَلّ
27:11:4	ثُمّ
27:15:4	يَمّ
27:16:2	يَمّ
27:16:5	أَيُّهَا
27:16:16	لَهْو
27:17:2	يَمّ
27:18:1	حَتَّىٰ
27:18:9	أَيُّهَا
27:18:15	يَمّ
27:25:1	أَلَآ
27:28:6	ثُمّ
27:29:2	أَيُّهَا
27:30:3	يَمّ
27:31:1	أَلَآ
27:32:2	أَيُّهَا
27:32:11	حَتَّىٰ
27:36:3	يَمّ
27:38:2	أَيُّهَا
27:39:14	عَلِيّ
27:44:25	يَمّ
27:46:11	لَعَلّ
27:49:6	ثُمّ
27:58:2	عَلِيّ
27:64:4	ثُمّ
27:65:13	أَيَّان
27:70:3	عَلِيّ
27:82:4	عَلِيّ
27:84:1	حَتَّىٰ
27:85:3	عَلِيّ
28:1:1	سَمّ
28:3:2	عَلِيّ
28:6:7	ـَٰٔن
28:7:9	عَلِيّ
28:8:10	ـَٰٔن
28:12:2	عَلِيّ
28:15:29	عَلِيّ
28:23:6	عَلِيّ
28:23:22	حَتَّىٰ
28:24:3	ثُمّ
28:25:18	عَلِيّ
28:27:8	تِّين
28:27:23	عَلِيّ
28:29:26	لَعَلّ
28:38:3	أَيُّهَا
28:38:13	ـَٰٔن
28:43:15	لَعَلّ
28:45:5	عَلِيّ
28:45:14	عَلِيّ
28:46:19	لَعَلّ
28:51:5	لَعَلّ
28:59:6	حَتَّىٰ
28:59:12	عَلِيّ
28:61:12	ثُمّ
28:63:4	عَلِيّ
28:63:17	إِيَّا
28:66:2	عَلِيّ
28:73:12	لَعَلّ
28:76:8	عَلِيّ
28:77:2	يَمّ
28:82:20	عَلِيّ
17:2:8	أَلَآ
17:6:1	ثُمّ
17:6:5	عَلِيّ
17:8:9	جَهَنَّم
17:14:6	عَلِيّ
17:15:10	عَلِيّ
17:15:19	حَتَّىٰ
17:16:11	عَلِيّ
17:18:12	ثُمّ
17:18:15	جَهَنَّم
17:23:3	أَلَآ
17:23:6	إِيَّا
17:31:8	إِيَّا
17:34:9	حَتَّىٰ
17:39:16	جَهَنَّم
17:54:13	عَلِيّ
17:63:7	جَهَنَّم
17:64:7	عَلِيّ
17:65:5	عَلِيّ
17:67:10	إِيَّا
17:68:11	ثُمّ
17:69:16	ثُمّ
17:69:20	عَلِيّ
17:86:7	ثُمّ
17:86:12	عَلِيّ
17:87:8	عَلِيّ
17:90:5	حَتَّىٰ
17:92:6	عَلِيّ
17:93:14	حَتَّىٰ
17:93:16	عَلِيّ
17:95:10	عَلِيّ
17:97:23	جَهَنَّم
17:107:15	عَلِيّ
10:3:11	ثُمّ
10:4:10	ثُمّ
10:14:1	ثُمّ
10:15:3	عَلِيّ
10:20:4	عَلِيّ
10:22:7	حَتَّىٰ
10:23:10	أَيُّهَا
10:23:19	ثُمّ
10:24:17	حَتَّىٰ
10:24:27	عَلِيّ
10:28:4	ثُمّ
10:28:17	إِيَّا
10:34:8	ثُمّ
10:34:14	ثُمّ
10:46:10	ثُمّ
10:51:1	ثُمّ
10:51:7	ـَٰٔن
10:52:1	ثُمّ
10:57:1	أَيُّهَا
10:62:7	عَلِيّ
10:70:4	ثُمّ
10:70:7	ثُمّ
10:71:2	عَلِيّ
10:71:23	ثُمّ
10:71:29	ثُمّ
10:74:1	ثُمّ
10:75:1	ثُمّ
10:78:6	عَلِيّ
10:84:8	عَلِيّ
10:88:26	حَتَّىٰ
10:90:10	حَتَّىٰ
10:91:1	ـَٰٔن
10:93:12	حَتَّىٰ
10:97:5	حَتَّىٰ
10:99:13	حَتَّىٰ
10:103:1	ثُمّ
10:103:8	عَلِيّ
10:104:2	أَيُّهَا
10:108:2	أَيُّهَا
10:108:18	عَلِيّ
10:109:6	حَتَّىٰ
